firstname,lastname,gender,year_of_birth,age,zip,city,country,party_short,district,incumbent,LINK_personal_website,LINK_facebook,LINK_Twitter,LINK_Instagram
Olivier,Français,m,1955,64,1007,Lausanne,Schweiz,FDP,Waadt,1,http://www.olivier-francais.ch/,https://www.facebook.com/plr.Olivier.Francais,https://twitter.com/OliFrancais,https://www.instagram.com/olivier.francais
Verena,Lobsiger-Schmid,f,1959,60,3800,Interlaken,Schweiz,PUM,Bern,0,NA,https://www.facebook.com/verena1959/,https://twitter.com/lobsigerverena,NA
Johanna,Gapany,f,1988,31,1630,Bulle,Schweiz,FDP,Freiburg,0,http://www.johanna-gapany.ch,https://www.facebook.com/johannnagapany/,https://twitter.com/johanna_gapany,https://www.instagram.com/johannagapany
François,Bachmann,m,1968,51,1305,Penthalaz,Schweiz,EVP,Waadt,0,NA,https://www.facebook.com/Fran%C3%A7ois-Bachmann-Parti-Evang%C3%A9lique-VD-PEV-187067924673654/,https://twitter.com/FrBachmann,NA
Daniel,Jositsch,m,1965,54,8001,Zürich,Schweiz,SP,Zürich,1,http://www.jositsch.ch,http://www.facebook.com/danieljositsch,https://twitter.com/danieljositsch,https://www.instagram.com/daniel.jositsch
Ruedi,Noser,m,1961,58,8400,Winterthur,Schweiz,FDP,Zürich,1,https://www.ruedinoser.ch,https://www.facebook.com/ruedi.noser,https://twitter.com/RuediNoser,https://www.instagram.com/ruedinoser
Kaspar,Michel,m,1970,49,6432,Rickenbach b. Schwyz,Schweiz,FDP,Schwyz,0,https://www.kaspar-michel.ch,https://www.facebook.com/kaspar.michel.98,https://mobile.twitter.com/kaspar_michel,NA
Damian,Müller,m,1984,35,6285,Hitzkirch,Schweiz,FDP,Luzern,1,https://www.damian-mueller.ch/,https://www.facebook.com/damianmueller.ch/,https://twitter.com/Damian_Mueller_,https://www.instagram.com/damian_mueller_
Andrea,Caroni,m,1980,39,9100,Herisau,Schweiz,FDP,Appenzell Ausserrhoden,1,http://www.andrea-caroni.ch,https://www.facebook.com/andrea.claudio.caroni,https://twitter.com/andreacaroniar,https://www.instagram.com/andreacaroniar
Mathilde,Crevoisier Crelier,f,1990,29,2900,Porrentruy,Schweiz,SP,Jura,0,NA,https://www.facebook.com/mathilde.crevoisier.9,https://twitter.com/math_crevoisier,https://www.instagram.com/mathcrrr
Jean-Marc,Comment,m,1952,67,2882,St-Ursanne,Schweiz,Grüne,Jura,0,https://www.jeanmarccomment.net,https://www.facebook.com/jeanmarc.comment,https://twitter.com/jmcomment,NA
Carlo,Sommaruga,m,1959,60,1206,Genève,Schweiz,SP,Genf,0,NA,https://www.facebook.com/profile.php?id=100009775064913,https://twitter.com/CarloSommaruga,https://www.instagram.com/carlo_sommaruga
Hugues,Hiltpold,m,1969,50,1227,Carouge,Schweiz,FDP,Genf,0,https://www.hugues-hiltpold.ch,https://www.facebook.com/Hugues-Hiltpold-153865381336118/,https://twitter.com/hhiltpold,https://www.instagram.com/hhiltpold_cn
Silvia,Locatelli,f,1979,40,2300,La Chaux-de-Fonds,Schweiz,SP,Neuenburg,0,https://silvialocatelli.com,https://www.facebook.com/silvia.locatelli.79,https://twitter.com/SilLocat,NA
Martine,Docourt,f,1979,40,2000,Neuchâtel,Schweiz,SP,Neuenburg,0,http://martinedocourt.ch,https://www.facebook.com/martine.docourt,https://twitter.com/MartineDocourt,https://www.instagram.com/martinedocourt
Beat,Rieder,m,1963,56,3918,Wiler,Schweiz,CVP,Wallis,1,https://www.beat-rieder.ch/,https://www.facebook.com/beatrieder63,https://twitter.com/RiederBeat,NA
Marianne,Maret,f,1958,61,1872,Troistorrents,Schweiz,CVP,Wallis,0,http://www.mariannemaret.ch,http://www.facebook.com/mariannemaret.ch,http://www.twitter.com/mariannemaret,NA
Adèle,Thorens Goumaz,f,1971,48,1000,Lausanne 27,Schweiz,Grüne,Waadt,0,NA,NA,https://twitter.com/adelethorens,NA
Erich,Ettlin,m,1962,57,6064,Kerns,Schweiz,CVP,Obwalden,1,https://www.erich-ettlin.ch/,NA,https://twitter.com/e_ettlin,NA
Matthias,Michel,m,1963,56,6317,Oberwil b. Zug,Schweiz,FDP,Zug,0,https://www.matthiasmichel.ch,https://www.facebook.com/matthiasmichel.ch,https://twitter.com/michelzug,NA
Beat,Vonlanthen,m,1957,62,1714,Heintenried,Schweiz,CVP,Freiburg,1,http://www.beat-vonlanthen.ch,https://www.facebook.com/beat.vonlanthen.ch,https://twitter.com/Beat_Vonlanthen,https://www.instagram.com/beat_vonlanthen
Pirmin,Bischof,m,1959,60,4500,Solothurn,Schweiz,CVP,Solothurn,1,https://pirmin-bischof.ch/,https://www.facebook.com/PirminBischof,https://twitter.com/PirminBischof,NA
Roberto,Zanetti,m,1954,64,4563,Gerlafingen,Schweiz,SP,Solothurn,1,https://www.roberto-zanetti.ch/,https://www.facebook.com/roberto.zanetti.so,https://twitter.com/zanettiroberto,NA
Christian,Levrat,m,1970,49,1628,Vuadens,Schweiz,SP,Freiburg,1,http://www.levrat.ch,https://www.facebook.com/christian.levrat.5,https://twitter.com/ChristianLevrat,https://www.instagram.com/christianlevrat
Benedikt,Würth,m,1968,51,9001,St. Gallen,Schweiz,CVP,St.Gallen,1,https://www.beni-wuerth.ch/,https://www.facebook.com/Beni-W%C3%BCrth-St%C3%A4nderat-324229584843147,https://twitter.com/BeniWuerth,NA
Paul,Rechsteiner,m,1952,67,9000,St. Gallen,Schweiz,SP,St.Gallen,1,https://paulrechsteiner.ch/,https://www.facebook.com/rechsteiner.staenderat/,https://twitter.com/PaulRechsteiner,NA
Christian,Amsler,m,1963,56,8234,Stetten,Schweiz,FDP,Schaffhausen,0,https://christianamsler.ch/,https://www.facebook.com/offiziellChristianAmsler/,https://twitter.com/ChristianAmsler,https://www.instagram.com/christian_amsler
Roland,Frauchiger,m,1960,59,5112,Thalheim,Schweiz,EVP,Aargau,0,http://roland-frauchiger.evppev.ch/,https://www.facebook.com/roland.frauchiger.3,https://twitter.com/RoFraAG,NA
Jakob,Stark,m,1958,61,9215,Buhwil,Schweiz,SVP,Thurgau,0,https://jakob-stark.ch/,https://www.facebook.com/jakobstark.ch,https://twitter.com/JakobStark,NA
Brigitte,Häberli-Koller,f,1958,61,8363,Bichelsee,Schweiz,CVP,Thurgau,1,https://www.brigitte-haeberli.ch/,https://www.facebook.com/Brigitte-H%C3%A4berli-St%C3%A4nder%C3%A4tin-219629608048757/,https://twitter.com/B_Haeberli,NA
Filippo,Lombardi,m,1956,63,6900,massagno,Schweiz,CVP,Tessin,1,https://flombardi.ch/,https://www.facebook.com/filippo.lombardi.319/,https://twitter.com/lombardi1956,NA
Stefan,Engler,m,1960,59,7000,Chur,Schweiz,CVP,Graubünden,1,http://www.stefanengler.ch/,NA,https://twitter.com/engler_stefan,NA
Charles,Juillard,m,1962,57,2900,Porrentruy,Schweiz,CVP,Jura,0,NA,https://www.facebook.com/charles.juillard,https://twitter.com/charlesjuillard,https://www.instagram.com/charlesjuillard
Nicole,Barandun,f,1968,51,8044,Zürich,Schweiz,CVP,Zürich,0,http://nicole-barandun.ch,https://www.facebook.com/Nicole-Barandun-ins-Bundeshaus-174963189186920/,https://twitter.com/nicolebarandun,https://www.instagram.com/barandungross
Marionna,Schlatter-Schmid,f,1980,39,8340,Hinwil,Schweiz,Grüne,Zürich,0,http://marionnaschlatter.ch/,https://www.facebook.com/marionnaschlatter,https://twitter.com/marionnasch,https://www.instagram.com/marionnaschlatter
Nik,Gugger,m,1970,49,8400,Winterthur,Schweiz,EVP,Zürich,0,https://nikgugger.ch/home.html,https://www.facebook.com/JetztNikGugger,https://twitter.com/NikGugger,https://www.instagram.com/nikgugger
Regula,Rytz,f,1962,57,3014,Bern,Schweiz,Grüne,Bern,0,https://regularytz.ch/,https://www.facebook.com/regularytzBE,https://twitter.com/RegulaRytz,NA
Christa,Markwalder,f,1975,44,3400,Burgdorf,Schweiz,FDP,Bern,0,https://christa-markwalder.ch/,https://www.facebook.com/MarkwalderChrista,https://twitter.com/ChristaMarkwald,https://www.instagram.com/christamarkwalder
Kathrin,Bertschy,f,1979,40,3014,Bern,Schweiz,glp,Bern,0,http://www.kathrinbertschy.ch,https://www.facebook.com/KathrinBertschyBE/,https://twitter.com/kathrinbertschy,NA
Andrea,Gmür,f,1964,55,6005,Luzern,Schweiz,CVP,Luzern,0,https://andrea-gmuer.ch/,https://www.facebook.com/andrea.gmurschonenberger,https://twitter.com/Agmur,https://www.instagram.com/andrea.gmuer
Michèle,Graber,f,1965,54,6044,Udligenswil,Schweiz,glp,Luzern,0,https://www.grabermichele.ch/,https://www.facebook.com/grabermichele/,https://twitter.com/GraberMi,NA
Claude,Béglé,m,1949,70,1009,Pully,Schweiz,CVP,Waadt,0,http://www.begle.ch/,https://www.facebook.com/claudebegleCN/,https://twitter.com/ClaudeBegle,https://www.instagram.com/begleclaude
Stefan,Nünlist,m,1967,52,4600,Olten,Schweiz,FDP,Solothurn,0,https://www.stefannuenlist.ch/,https://www.facebook.com/snuenlist,https://twitter.com/stefannuenlist,NA
Céline,Vara,f,1984,35,2088,Cressier,Schweiz,Grüne,Neuenburg,0,NA,https://www.facebook.com/celine.vara,https://twitter.com/VaraCeline,NA
Mathias,Reynard,m,1987,32,1965,Savièse,Schweiz,SP,Wallis,0,http://www.mathiasreynard.ch,https://www.facebook.com/MathiasReynardCN/,https://twitter.com/MathiasReynard,https://www.instagram.com/mathiasreynard
Brigitte,Wolf,f,1967,52,3982,Bitsch,Schweiz,Grüne,Wallis,0,NA,https://www.facebook.com/brigitte.wolf.902,https://twitter.com/bwolf1967,NA
Philippe,Nantermod,m,1984,35,1875,Morgins,Schweiz,FDP,Wallis,0,https://www.nantermod2019.ch/,https://www.facebook.com/nantermod,https://twitter.com/nantermod,https://www.instagram.com/nantermod
Ada,Marra,f,1973,46,1005,Lausanne,Schweiz,SP,Waadt,0,http://www.adamarra.ch,https://www.facebook.com/marra.ada,https://twitter.com/ada_marra,https://www.instagram.com/ada.marra
Tabea,Zimmermann Gibson,f,1974,45,6300,Zug,Schweiz,Grüne,Zug,0,http://tabeazimmermann.ch,https://www.facebook.com/tabea.zimmermanngibson,https://twitter.com/TZimmermannG,https://www.instagram.com/tzimmermanng
Gianna,Hablützel-Bürki,f,1969,50,4052,Basel,Schweiz,SVP,Basel-Stadt,0,NA,https://www.facebook.com/giannapolitik,https://twitter.com/BrGianna,https://www.instagram.com/gianna_69
Daniela,Schneeberger,f,1967,52,4450,Sissach,Schweiz,FDP,Basel-Landschaft,0,http://www.danielaschneeberger.ch,https://www.facebook.com/Daniela-Schneeberger-Nationalr%C3%A4tin-in-den-St%C3%A4nderat-195216777206619/,https://twitter.com/SchneeDani67,https://www.instagram.com/schneebutz1909
Marianne,Binder-Keller,f,1958,61,5400,Baden,Schweiz,CVP,Aargau,0,https://www.mariannebinder.ch,https://www.facebook.com/marianne.binderkeller,https://twitter.com/BinderMarianne,https://www.instagram.com/marianne_binder
Cédric,Wermuth,m,1986,33,4800,Zofingen,Schweiz,SP,Aargau,0,http://www.cedricwermuth.ch,http://www.facebook.com/cedricwermuth,https://twitter.com/cedricwermuth,NA
Ruth,Müri,f,1970,49,5405,Baden-Dättwil,Schweiz,Grüne,Aargau,0,http://www.ruth-mueri.ch,https://www.facebook.com/ruth.muri,https://twitter.com/ruthmueri,NA
Beat,Flach,m,1965,54,5105,Auenstein,Schweiz,glp,Aargau,0,NA,https://www.facebook.com/Beat-Flach-136094309799201/,https://twitter.com/beatflach,https://www.instagram.com/beatflach/
Kurt,Egger,m,1956,63,8360,Eschlikon,Schweiz,Grüne,Thurgau,0,NA,http://www.facebook.com/kurt.egger.tg,http://www.twitter.com/kurtegger2,NA
Philipp,Jutzi,m,1971,48,3800,Interlaken,Schweiz,Parteilos,Bern,0,http://JUTZIphilipp.com,https://www.facebook.com/jutziphilipp,https://twitter.com/JUTZIPhilipp,NA
Christian,Imark,m,1982,37,4232,Fehren,Schweiz,SVP,Solothurn,0,NA,https://www.facebook.com/nationalrat.imark/,https://twitter.com/ChristianImark,https://www.instagram.com/christianimark/
François,Pointet,m,1969,50,1805,Jongny,Schweiz,glp,Waadt,0,http://www.francoispointet.ch/,https://www.facebook.com/Francois.Pointet.PVL/,https://twitter.com/isfpo,NA
Franz,Grüter,m,1963,56,6205,Eich,Schweiz,SVP,Luzern,0,http://www.franz-grueter.ch,https://www.facebook.com/GrueterFranz/,https://twitter.com/fgrueter,NA
Felix,Wettstein,m,1958,61,4600,Olten,Schweiz,Grüne,Solothurn,0,http://www.felix-wettstein.ch,https://www.facebook.com/felixwettstein.olten/,https://twitter.com/FelixWettstein,NA
Franziska,Ryser,f,1991,28,9010,St.Gallen,Schweiz,Grüne,St.Gallen,0,http://www.franziskaryser.ch,https://www.facebook.com/FranziskaRyserSG/,https://twitter.com/FranziskaRyser,NA
Jorgo,Ananiadis,m,1969,50,3072,Ostermundigen,Schweiz,Piraten,Bern,0,https://www.jorgo.com,https://www.facebook.com/ananiadis,https://twitter.com/JorgoA,NA
Pascal,Fouquet,m,1981,38,3125,Toffen,Schweiz,Piraten,Bern,0,NA,NA,http://www.twitter.com/pascalfouquet,NA
Thierry,Burkart,m,1975,44,5400,Baden,Schweiz,FDP,Aargau,0,http://www.thierry-burkart.ch,https://www.facebook.com/thierryburkart/,https://twitter.com/ThierryBurkart,NA
Gerhard,Andrey,m,1976,43,1763,Granges-Paccot,Schweiz,Grüne,Freiburg,0,https://www.gerhard-andrey.ch,https://www.facebook.com/ANDREY.Gerhard,https://twitter.com/anderageru,NA
Maya,Graf,f,1966,53,4450,Sissach,Schweiz,Grüne,Basel-Landschaft,0,http://www.mayagraf.ch,https://www.facebook.com/maya.graf.397,https://twitter.com/nr_mayagraf,NA
Anaïs,Timofte,f,1991,28,1004,Lausanne,Schweiz,PdA,Waadt,0,http://www.popvaud.ch/electionsfederales2019/,https://www.facebook.com/anais.timofte,https://twitter.com/anaistimofte,NA
